,,"Purpose of This Spreadsheet is to Outline the Methodology of System 30
Branches Traded in 2026 OOS
Updated Till Mon 3-23-26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ticker (444),Condition (444),Profit %,IS Profit %,Profit $ Per Year,IS Profit $ Per Year,Time in market%,IS Time in market%,TIMAR%,IS TIMAR%,Max DD%,IS Max DD%,Total Trades,IS Total Trades,AVG Trades Per Month,IS AVG Trades Per Month,Win %,IS Win %,Risk to Reward Ratio,IS Risk to Reward Ratio,Avg P&L $,IS Avg P&L $,Avg P&L %,IS Avg P&L %,AVG Hold Period (days),IS AVG Hold Period (days),Max Consec. Losing Days,IS Max Consec. Losing Days,Max Consec. Winning Days,IS Max Consec. Winning Days,Max Consec. Losing Weeks,IS Max Consec. Losing Weeks,Max Consec. Winning Weeks,IS Max Consec. Winning Weeks,Max Consec. Losing Months,IS Max Consec. Losing Months,Max Consec. Winning Months,IS Max Consec. Winning Months,Win to Loss Ratio,IS Win to Loss Ratio,Total Profitable Trades,IS Total Profitable Trades,Profit Factor,IS Profit Factor,Sharpe Ratio,IS Sharpe Ratio,Losing Days Streak $ Loss,IS Losing Days Streak $ Loss,Losing Days Streak % Loss,IS Losing Days Streak % Loss,Losing Weeks Streak $ Loss,IS Losing Weeks Streak $ Loss,Losing Weeks Streak % Loss,IS Losing Weeks Streak % Loss,Losing Months Streak $ Loss,IS Losing Months Streak $ Loss,Losing Months Streak % Loss,IS Losing Months Streak % Loss,Winning Trades%,IS Winning Trades%,Winning Days%,IS Winning Days%,Winning Weeks%,IS Winning Weeks%,Avg Win Trade $,IS Avg Win Trade $,Avg Losing Trade $,IS Avg Losing Trade $,Winning Months%,IS Winning Months%
IEFA,21d RSI IEFA LT43 - L IEFA,1.4 %,10.4 %,712,5249,85.7 %,6.4 %,1.7 %,164.0 %,-0.1 %,-3.8 %,3,5,0.2,0.4,66.7 %,100.0 %,11.2,,237,1008,0.5 %,2.0 %,3,2.2,1,0,2,5,1,0,2,4,0,0,1,3,2,,2,5,22.4,,2.1,2.6,-67,0,-0.1 %,0.0 %,-67,0,-0.1 %,0.0 %,0,0,0.0 %,0.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,372,1008,-33,0,100.0 %,100.0 %
IEI,3d RSI IEI LT14 - L IEI,0.7 %,2.4 %,334,1216,15.6 %,6.4 %,4.3 %,38.0 %,0.0 %,-0.1 %,3,6,0.2,0.5,100.0 %,100.0 %,,,111,199,0.2 %,0.4 %,1.3,1.7,0,0,3,6,0,0,3,6,0,0,2,6,,,3,6,,,4.8,6.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,111,199,0,0,100.0 %,100.0 %
IEMG,3d RSI IEMG LT12 - L IEMG,1.0 %,11.9 %,481,5976,100.0 %,9.6 %,1.0 %,124.5 %,0.0 %,-5.9 %,1,7,0.1,0.6,100.0 %,85.7 %,,5.1,481,813,1.0 %,1.6 %,1,2.4,0,1,1,5,0,1,1,5,0,1,1,5,,6,1,6,,30.7,0,2.8,0,-191,0.0 %,-0.4 %,0,-191,0.0 %,-0.4 %,0,-191,0.0 %,-0.4 %,100.0 %,85.7 %,100.0 %,85.7 %,100.0 %,85.7 %,481,980,0,-191,100.0 %,85.7 %
IEUR,12d RSI IEUR LT38 - L IEUR,-0.1 %,10.8 %,-64,5466,100.0 %,6.8 %,-0.1 %,160.8 %,-1.4 %,-4.6 %,4,6,0.3,0.5,25.0 %,100.0 %,2.7,,-16,870,-0.0 %,1.7 %,3.2,1.8,3,0,1,6,3,0,1,6,1,0,0,4,0.3,,1,6,0.9,,-0.1,3.3,-1394,0,-1.4 %,0.0 %,-1394,0,-1.4 %,0.0 %,-129,0,-0.1 %,0.0 %,25.0 %,100.0 %,25.0 %,100.0 %,25.0 %,100.0 %,633,870,-232,0,0.0 %,100.0 %
IEV,14d RSI IEV LT39 - L IEV,0.2 %,9.2 %,102,4623,100.0 %,5.6 %,0.2 %,165.1 %,-1.1 %,-4.6 %,4,5,0.3,0.4,50.0 %,100.0 %,1.2,,25,889,0.1 %,1.8 %,3.2,1.8,2,0,1,5,2,0,1,5,0,0,1,4,1,,2,5,1.2,,0.1,3.5,-1109,0,-1.1 %,0.0 %,-1109,0,-1.1 %,0.0 %,0,0,0.0 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,328,889,-277,0,100.0 %,100.0 %
IGEB,6d RSI IGEB LT49 - L IGEB,0.1 %,7.2 %,65,3623,53.4 %,38.4 %,0.2 %,18.9 %,-0.8 %,-2.5 %,7,25,0.6,2.1,57.1 %,84.0 %,0.9,1.2,9,139,0.0 %,0.3 %,3.3,2.8,3,1,3,12,3,1,3,15,1,1,2,11,1.3,5.2,4,21,1.2,6.3,0.2,3.9,-801,-331,-0.8 %,-0.7 %,-801,-142,-0.8 %,-0.3 %,-488,-96,-0.5 %,-0.2 %,57.1 %,84.0 %,57.1 %,84.0 %,57.1 %,90.5 %,116,197,-134,-166,66.7 %,91.7 %
IGF,11d RSI IGF LT63 - L IGF,3.0 %,31.3 %,1513,15763,51.7 %,80.0 %,5.8 %,39.4 %,0.0 %,-4.3 %,6,46,0.5,3.9,83.3 %,78.3 %,37.6,1.3,252,299,0.5 %,0.6 %,4,3.3,1,2,5,13,0,2,5,11,0,0,2,12,5,3.6,5,36,188,4.7,3.3,4.5,-16,-440,-0.0 %,-0.9 %,0,-440,0.0 %,-0.9 %,0,0,0.0 %,0.0 %,83.3 %,78.3 %,83.3 %,78.3 %,100.0 %,79.4 %,304,485,-8,-372,100.0 %,100.0 %
IGIB,15d RSI IGIB LT60 - L IGIB,-0.1 %,8.1 %,-60,4096,72.1 %,68.4 %,-0.2 %,12.0 %,-0.9 %,-2.4 %,9,42,0.8,3.5,44.4 %,76.2 %,1.1,1.3,-7,93,-0.0 %,0.2 %,3.8,3,3,3,2,11,3,3,2,10,1,1,2,7,0.8,3.2,4,32,0.9,4.2,-0.2,3.7,-855,-478,-0.9 %,-1.0 %,-855,-478,-0.9 %,-1.0 %,-495,-418,-0.5 %,-0.8 %,44.4 %,76.2 %,44.4 %,76.2 %,44.4 %,74.3 %,117,161,-106,-124,66.7 %,91.7 %
IGLB,5d RSI IGLB LT20 - L IGLB,0.8 %,6.6 %,389,3331,88.9 %,6.8 %,0.9 %,98.0 %,0.0 %,-1.9 %,2,5,0.2,0.4,100.0 %,80.0 %,,7,194,647,0.4 %,1.3 %,3,2.4,0,1,2,3,0,0,2,4,0,0,1,4,,4,2,4,,28.1,91.4,2.6,0,-119,0.0 %,-0.2 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,80.0 %,100.0 %,80.0 %,100.0 %,100.0 %,194,839,0,-119,100.0 %,100.0 %
IGLD,20d RSI IGLD LT49 - L IGLD,-3.1 %,9.0 %,-1530,4517,100.0 %,5.6 %,-3.1 %,161.3 %,0.0 %,-0.1 %,2,5,0.2,0.4,50.0 %,100.0 %,0.5,,-765,869,-1.5 %,1.7 %,3,1.8,1,0,1,5,1,0,0,5,1,0,0,4,1,,1,5,0.5,,-0.4,3.6,-6380,0,-6.4 %,0.0 %,-3060,0,-3.1 %,0.0 %,-3060,0,-3.1 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,0.0 %,100.0 %,1660,869,-3190,0,0.0 %,100.0 %
IGM,8d RSI IGM LT24 - L IGM,3.4 %,6.4 %,1698,3235,100.0 %,5.6 %,3.4 %,115.5 %,0.0 %,-11.3 %,1,2,0.1,0.2,100.0 %,50.0 %,,2.4,1698,1757,3.4 %,3.5 %,1,6,0,1,1,1,0,1,1,1,0,1,1,1,,1,1,1,,2.4,0,0.6,0,-2522,0.0 %,-5.0 %,0,-2522,0.0 %,-5.0 %,0,-2522,0.0 %,-5.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,1698,6036,0,-2522,100.0 %,50.0 %
IGOV,6d RSI IGOV LT19 - L IGOV,-0.2 %,3.0 %,-96,1532,100.0 %,5.2 %,-0.2 %,58.9 %,0.0 %,-0.5 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-96,376,-0.2 %,0.8 %,4,2.2,1,0,0,4,1,0,0,4,1,0,0,3,0,,0,4,0,,0,2.6,-193,0,-0.2 %,0.0 %,-193,0,-0.2 %,0.0 %,-193,0,-0.2 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,376,-96,0,0.0 %,100.0 %
IGSB,6d RSI IGSB LT32 - L IGSB,-0.1 %,1.6 %,-55,784,88.9 %,5.6 %,-0.1 %,28.0 %,-0.1 %,-0.5 %,3,5,0.2,0.4,33.3 %,100.0 %,1.5,,-18,155,-0.0 %,0.3 %,4.3,1.8,2,0,1,5,2,0,1,5,1,0,0,4,0.5,,1,5,0.7,,-0.2,4.1,-417,0,-0.4 %,0.0 %,-417,0,-0.4 %,0.0 %,-111,0,-0.1 %,0.0 %,33.3 %,100.0 %,33.3 %,100.0 %,33.3 %,100.0 %,153,155,-104,0,0.0 %,100.0 %
IGV,4d RSI IGV LT13 - L IGV,-7.2 %,20.1 %,-3603,10150,70.6 %,6.0 %,-10.2 %,338.3 %,-5.9 %,-3.0 %,2,6,0.2,0.5,0.0 %,83.3 %,0,15.3,-1802,1588,-3.6 %,3.2 %,4.5,1.5,2,1,0,4,2,1,0,4,2,1,0,4,0,5,0,5,0,76.6,-2.3,2,-7207,-126,-7.2 %,-0.2 %,-7207,-126,-7.2 %,-0.2 %,-7207,-126,-7.2 %,-0.2 %,0.0 %,83.3 %,0.0 %,83.3 %,0.0 %,83.3 %,0,1931,-1802,-126,0.0 %,83.3 %
IHDG,4d RSI IHDG LT26 - L IHDG,-1.4 %,4.4 %,-678,2217,36.2 %,18.0 %,-3.8 %,24.6 %,-2.9 %,-12.9 %,4,11,0.3,0.9,25.0 %,72.7 %,1.6,0.7,-170,206,-0.3 %,0.4 %,3.2,3.1,3,2,1,4,3,2,1,4,1,2,1,2,0.3,2.7,1,8,0.5,1.7,-0.6,0.7,-2951,-517,-3.0 %,-1.0 %,-2951,-517,-3.0 %,-1.0 %,-2951,-517,-3.0 %,-1.0 %,25.0 %,72.7 %,25.0 %,72.7 %,25.0 %,72.7 %,797,664,-492,-1015,50.0 %,62.5 %
IHE,4d RSI IHE LT24 - L IHE,3.0 %,18.4 %,1522,9255,27.6 %,12.4 %,11.0 %,149.3 %,-0.4 %,-7.3 %,3,9,0.2,0.8,66.7 %,77.8 %,4.3,8.8,507,951,1.0 %,1.9 %,4.3,2.4,1,1,2,6,1,1,2,6,0,1,2,6,2,3.5,2,7,8.5,30.7,1.4,3.8,-405,-201,-0.4 %,-0.4 %,-405,-201,-0.4 %,-0.4 %,0,-201,0.0 %,-0.4 %,66.7 %,77.8 %,66.7 %,77.8 %,66.7 %,77.8 %,862,1264,-203,-144,100.0 %,87.5 %
IHF,15d RSI IHF LT31 - L IHF,1.7 %,3.9 %,852,1957,100.0 %,5.2 %,1.7 %,75.2 %,0.0 %,-2.7 %,1,3,0.1,0.2,100.0 %,100.0 %,,,852,640,1.7 %,1.3 %,5,3.3,0,0,1,3,0,0,1,3,0,0,1,2,,,1,3,,,0,2.9,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,852,640,0,0,100.0 %,100.0 %
IHI,12d RSI IHI LT36 - L IHI,-7.1 %,8.8 %,-3560,4454,75.6 %,8.0 %,-9.4 %,111.3 %,-6.0 %,-4.1 %,5,6,0.4,0.5,20.0 %,83.3 %,0.7,2.1,-712,721,-1.4 %,1.4 %,5.6,2.3,2,1,1,5,2,1,1,4,3,0,0,4,0.2,5,1,5,0.2,10.6,-1.8,1.7,-5355,-449,-5.4 %,-0.9 %,-5355,-53,-5.4 %,-0.1 %,-7121,0,-7.1 %,0.0 %,20.0 %,83.3 %,20.0 %,83.3 %,20.0 %,80.0 %,709,955,-1067,-449,0.0 %,100.0 %
IJJ,3d RSI IJJ LT12 - L IJJ,-4.5 %,11.4 %,-2263,5766,100.0 %,10.0 %,-4.5 %,115.3 %,0.0 %,-7.1 %,1,5,0.1,0.4,0.0 %,80.0 %,0,4,-2263,1103,-4.5 %,2.2 %,12,3.8,1,1,0,4,1,1,0,4,1,1,0,4,0,4,0,4,0,16,0,2.7,-4527,-368,-4.5 %,-0.7 %,-4527,-368,-4.5 %,-0.7 %,-4527,-368,-4.5 %,-0.7 %,0.0 %,80.0 %,0.0 %,80.0 %,0.0 %,80.0 %,0,1471,-2263,-368,0.0 %,80.0 %
IJS,5d RSI IJS LT14 - L IJS,0.7 %,11.8 %,345,5944,100.0 %,5.2 %,0.7 %,228.6 %,0.0 %,-6.5 %,1,4,0.1,0.3,100.0 %,100.0 %,,,345,1417,0.7 %,2.8 %,7,2.2,0,0,1,4,0,0,1,4,0,0,1,3,,,1,4,,,0,4.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,345,1417,0,0,100.0 %,100.0 %
ILF,3d RSI ILF LT11 - L ILF,1.9 %,9.8 %,956,4935,100.0 %,6.4 %,1.9 %,154.2 %,0.0 %,-3.9 %,1,5,0.1,0.4,100.0 %,100.0 %,,,956,947,1.9 %,1.9 %,1,2.2,0,0,1,5,0,0,1,5,0,0,1,5,,,1,5,,,0,3.5,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,956,947,0,0,100.0 %,100.0 %
IMTM,3d RSI IMTM LT18 - L IMTM,12.3 %,9.8 %,6174,4964,37.1 %,8.8 %,33.2 %,112.8 %,0.0 %,-3.9 %,5,7,0.4,0.6,100.0 %,100.0 %,,,1235,682,2.5 %,1.4 %,1.6,2.1,0,0,5,7,0,0,5,7,0,0,2,5,,,5,7,,,5.1,2.3,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,1235,682,0,0,100.0 %,100.0 %
INDA,15d RSI INDA LT30 - L INDA,-1.1 %,2.8 %,-528,1416,100.0 %,5.2 %,-1.1 %,54.5 %,-1.9 %,-1.7 %,3,5,0.2,0.4,33.3 %,80.0 %,1.4,1.5,-176,279,-0.4 %,0.6 %,2.7,1.6,2,1,1,4,1,1,1,4,1,0,0,3,0.5,4,1,4,0.7,6.1,-0.3,1.7,-3275,-273,-3.3 %,-0.6 %,-1441,-273,-1.4 %,-0.6 %,-1055,0,-1.1 %,0.0 %,33.3 %,80.0 %,33.3 %,80.0 %,50.0 %,80.0 %,1110,418,-819,-273,0.0 %,100.0 %
INDY,6d RSI INDY LT19 - L INDY,-1.7 %,0.7 %,-867,375,33.3 %,5.6 %,-5.2 %,13.4 %,-2.8 %,-1.6 %,4,3,0.3,0.2,75.0 %,33.3 %,0.1,6.3,-217,124,-0.4 %,0.2 %,2.8,3.7,1,1,2,1,1,1,2,1,1,1,1,1,3,0.5,3,1,0.4,3.2,-0.6,0.7,-2858,-152,-2.9 %,-0.3 %,-2858,-152,-2.9 %,-0.3 %,-1904,-152,-1.9 %,-0.3 %,75.0 %,33.3 %,75.0 %,33.3 %,75.0 %,33.3 %,187,547,-1429,-87,50.0 %,33.3 %
INTF,21d RSI INTF LT43 - L INTF,1.3 %,12.0 %,634,6046,90.0 %,6.0 %,1.4 %,201.5 %,0.0 %,-3.4 %,2,5,0.2,0.4,100.0 %,100.0 %,,,317,1153,0.6 %,2.3 %,3.5,2,0,0,2,5,0,0,2,4,0,0,1,3,,,2,5,,,81.1,3.1,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,317,1153,0,0,100.0 %,100.0 %
IOO,6d RSI IOO LT29 - L IOO,3.1 %,14.0 %,1540,7062,36.2 %,13.6 %,8.5 %,103.8 %,-0.7 %,-10.4 %,4,10,0.3,0.8,75.0 %,100.0 %,1.7,,385,661,0.8 %,1.3 %,3.2,2.4,1,0,3,10,1,0,3,10,0,0,2,7,3,,3,10,5,,1.6,5.8,-768,0,-0.8 %,0.0 %,-768,0,-0.8 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,641,661,-384,0,100.0 %,100.0 %
IPAC,14d RSI IPAC LT42 - L IPAC,2.5 %,7.5 %,1244,3793,82.4 %,8.4 %,3.0 %,90.3 %,-0.3 %,-8.8 %,4,6,0.3,0.5,75.0 %,100.0 %,2.7,,311,610,0.6 %,1.2 %,2.5,2.5,1,0,2,6,1,0,2,4,0,0,1,4,3,,3,6,8.2,,1.7,3.9,-345,0,-0.3 %,0.0 %,-345,0,-0.3 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,472,610,-173,0,100.0 %,100.0 %
IQDF,20d RSI IQDF LT44 - L IQDF,2.6 %,9.8 %,1287,4927,78.6 %,6.0 %,3.3 %,164.2 %,-0.3 %,-4.7 %,4,5,0.3,0.4,75.0 %,100.0 %,3.3,,322,943,0.6 %,1.9 %,1.8,2,1,0,2,5,0,0,3,4,0,0,1,3,3,,3,5,10,,2.3,4.9,-286,0,-0.3 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,100.0 %,100.0 %,477,943,-143,0,100.0 %,100.0 %
IQLT,3d RSI IQLT LT17 - L IQLT,1.2 %,10.1 %,597,5078,82.4 %,13.6 %,1.5 %,74.7 %,-0.8 %,-3.9 %,3,11,0.2,0.9,66.7 %,81.8 %,1.2,3.1,199,442,0.4 %,0.9 %,3.7,2.1,1,1,2,5,1,1,2,5,0,1,1,4,2,4.5,2,9,2.5,14,0.8,2.3,-819,-228,-0.8 %,-0.5 %,-819,-228,-0.8 %,-0.5 %,0,-228,0.0 %,-0.5 %,66.7 %,81.8 %,66.7 %,81.8 %,66.7 %,81.8 %,503,582,-410,-188,100.0 %,87.5 %
ISTB,4d RSI ISTB LT31 - L ISTB,-0.2 %,1.7 %,-91,857,38.0 %,10.8 %,-0.5 %,15.9 %,-0.5 %,-0.4 %,4,10,0.3,0.8,50.0 %,100.0 %,0.7,,-23,84,-0.0 %,0.2 %,3.8,1.7,2,0,1,10,2,0,1,9,1,0,1,8,1,,2,10,0.7,,-0.4,5.8,-535,0,-0.5 %,0.0 %,-535,0,-0.5 %,0.0 %,-286,0,-0.3 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,88,84,-134,0,50.0 %,100.0 %
ITA,4d RSI ITA LT13 - L ITA,-1.5 %,15.0 %,-726,7559,100.0 %,5.6 %,-1.5 %,270.0 %,0.0 %,-4.5 %,1,4,0.1,0.3,0.0 %,100.0 %,0,,-726,1817,-1.5 %,3.6 %,8,2.5,1,0,0,4,1,0,0,4,1,0,0,3,0,,0,4,0,,0,1.8,-1453,0,-1.5 %,0.0 %,-1453,0,-1.5 %,0.0 %,-1453,0,-1.5 %,0.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0.0 %,100.0 %,0,1817,-726,0,0.0 %,100.0 %
ITB,4d RSI ITB LT12 - L ITB,-2.8 %,9.1 %,-1377,4575,76.9 %,5.2 %,-3.6 %,176.0 %,0.0 %,-1.9 %,2,4,0.2,0.3,50.0 %,100.0 %,0.6,,-688,1104,-1.4 %,2.2 %,4,2.2,1,0,1,4,1,0,1,4,1,0,0,3,1,,1,4,0.6,,-0.4,2.9,-6266,0,-6.3 %,0.0 %,-6266,0,-6.3 %,0.0 %,-2754,0,-2.8 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,1756,1104,-3133,0,0.0 %,100.0 %
ITM,5d RSI ITM LT18 - L ITM,-2.0 %,1.0 %,-982,502,94.4 %,5.2 %,-2.1 %,19.3 %,-1.3 %,-2.4 %,2,4,0.2,0.3,0.0 %,75.0 %,0,1,-491,125,-1.0 %,0.2 %,7.5,2.2,2,1,0,2,2,1,0,2,1,1,0,1,0,3,0,3,0,3.1,-5,1,-1965,-237,-2.0 %,-0.5 %,-1965,-237,-2.0 %,-0.5 %,-1965,-170,-2.0 %,-0.3 %,0.0 %,75.0 %,0.0 %,75.0 %,0.0 %,75.0 %,0,245,-491,-237,0.0 %,66.7 %
IUSB,12d RSI IUSB LT38 - L IUSB,1.0 %,0.9 %,522,441,85.7 %,5.2 %,1.2 %,17.0 %,0.0 %,-0.9 %,3,3,0.2,0.2,100.0 %,66.7 %,,,174,146,0.3 %,0.3 %,3,3.3,0,1,3,2,0,1,3,2,0,1,1,2,,2,3,2,,,3.2,2.4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,174,218,0,0,100.0 %,66.7 %
IUSG,11d RSI IUSG LT29 - L IUSG,2.5 %,8.5 %,1252,4279,100.0 %,5.2 %,2.5 %,164.6 %,0.0 %,-7.7 %,1,3,0.1,0.2,100.0 %,66.7 %,,1.7,1252,1449,2.5 %,2.9 %,1,3.3,0,1,1,2,0,1,1,1,0,1,1,1,,2,1,2,,3.5,0,0.9,0,-1767,0.0 %,-3.5 %,0,-552,0.0 %,-1.1 %,0,-552,0.0 %,-1.1 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,1252,3057,0,-1767,100.0 %,50.0 %
IVLU,15d RSI IVLU LT46 - L IVLU,-0.3 %,5.1 %,-127,2588,100.0 %,7.2 %,-0.3 %,71.9 %,-1.4 %,-10.5 %,4,6,0.3,0.5,50.0 %,83.3 %,0.8,0.5,-32,428,-0.1 %,0.9 %,3.2,2,2,1,1,3,2,1,1,2,1,1,0,2,1,5,2,5,0.8,2.7,-0.2,1.1,-1372,-1499,-1.4 %,-3.0 %,-1372,-28,-1.4 %,-0.1 %,-255,-28,-0.3 %,-0.1 %,50.0 %,83.3 %,50.0 %,83.3 %,50.0 %,80.0 %,279,814,-343,-1499,0.0 %,75.0 %
IVW,9d RSI IVW LT28 - L IVW,2.5 %,7.4 %,1248,3716,100.0 %,6.4 %,2.5 %,116.1 %,0.0 %,-9.4 %,1,3,0.1,0.2,100.0 %,66.7 %,,1.3,1248,1297,2.5 %,2.6 %,1,4.3,0,1,1,2,0,1,1,1,0,1,1,1,,2,1,2,,2.5,0,0.7,0,-2566,0.0 %,-5.1 %,0,-1288,0.0 %,-2.6 %,0,-1288,0.0 %,-2.6 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,50.0 %,1248,3229,0,-2566,100.0 %,50.0 %
IWD,3d RSI IWD LT11 - L IWD,0.5 %,12.4 %,231,6253,100.0 %,5.6 %,0.5 %,223.3 %,0.0 %,-4.2 %,1,5,0.1,0.4,100.0 %,100.0 %,,,231,1188,0.5 %,2.4 %,1,1.8,0,0,1,5,0,0,1,5,0,0,1,5,,,1,5,,,0,4,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,100.0 %,231,1188,0,0,100.0 %,100.0 %
IWP,15d RSI IWP LT30 - L IWP,3.5 %,10.2 %,1725,5116,100.0 %,5.6 %,3.5 %,182.7 %,0.0 %,-7.8 %,1,3,0.1,0.2,100.0 %,66.7 %,,3.9,1725,1686,3.5 %,3.4 %,1,3.7,0,1,1,2,0,1,1,2,0,1,1,2,,2,1,2,,7.8,0,1.3,0,-747,0.0 %,-1.5 %,0,-747,0.0 %,-1.5 %,0,-747,0.0 %,-1.5 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,1725,2902,0,-747,100.0 %,66.7 %
IWS,10d RSI IWS LT30 - L IWS,4.3 %,6.6 %,2146,3336,80.0 %,7.2 %,5.4 %,92.7 %,0.0 %,-7.3 %,2,4,0.2,0.3,100.0 %,75.0 %,,1.7,1073,820,2.1 %,1.6 %,3,3.5,0,1,2,2,0,1,2,2,0,1,1,2,,3,2,3,,5,4.9,1.5,0,-817,0.0 %,-1.6 %,0,-817,0.0 %,-1.6 %,0,-817,0.0 %,-1.6 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,75.0 %,1073,1366,0,-817,100.0 %,75.0 %
IWV,6d RSI IWV LT21 - L IWV,1.6 %,5.8 %,790,2903,100.0 %,7.6 %,1.6 %,76.4 %,0.0 %,-9.9 %,1,3,0.1,0.2,100.0 %,66.7 %,,1.3,790,994,1.6 %,2.0 %,3,5.3,0,1,1,2,0,1,1,2,0,1,1,2,,2,1,2,,2.5,0,0.8,0,-1954,0.0 %,-3.9 %,0,-1954,0.0 %,-3.9 %,0,-1954,0.0 %,-3.9 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,790,2468,0,-1954,100.0 %,66.7 %
IWY,7d RSI IWY LT23 - L IWY,5.3 %,7.3 %,2672,3659,15.6 %,7.6 %,34.4 %,96.3 %,0.0 %,-11.2 %,3,3,0.2,0.2,100.0 %,66.7 %,,1.3,891,1265,1.8 %,2.5 %,1.3,5.3,0,1,3,2,0,1,3,2,0,1,3,2,,2,3,2,,2.6,7.9,0.8,0,-2366,0.0 %,-4.7 %,0,-2366,0.0 %,-4.7 %,0,-2366,0.0 %,-4.7 %,100.0 %,66.7 %,100.0 %,66.7 %,100.0 %,66.7 %,891,3081,0,-2366,100.0 %,66.7 %
IXJ,14d RSI IXJ LT38 - L IXJ,-3.7 %,14.9 %,-1852,7523,100.0 %,10.8 %,-3.7 %,139.3 %,-4.0 %,-4.6 %,2,7,0.2,0.6,50.0 %,100.0 %,0.1,,-926,1005,-1.9 %,2.0 %,6.5,2.9,1,0,1,7,1,0,1,6,1,0,0,5,1,,1,7,0.1,,-1.2,8.9,-4003,0,-4.0 %,0.0 %,-4003,0,-4.0 %,0.0 %,-3705,0,-3.7 %,0.0 %,50.0 %,100.0 %,50.0 %,100.0 %,50.0 %,100.0 %,149,1005,-2002,0,0.0 %,100.0 %
IXUS,21d RSI IXUS LT43 - L IXUS,2.9 %,8.9 %,1464,4510,78.6 %,5.6 %,3.7 %,161.1 %,-0.6 %,-4.3 %,4,5,0.3,0.4,75.0 %,100.0 %,1.8,,366,869,0.7 %,1.7 %,1.8,1.8,1,0,2,5,0,0,3,4,0,0,1,3,3,,3,5,5.4,,1.8,3,-659,0,-0.7 %,0.0 %,0,0,0.0 %,0.0 %,0,0,0.0 %,0.0 %,75.0 %,100.0 %,75.0 %,100.0 %,100.0 %,100.0 %,598,869,-329,0,100.0 %,100.0 %
IYC,15d RSI IYC LT31 - L IYC,1.9 %,9.4 %,963,4758,100.0 %,6.8 %,1.9 %,139.9 %,0.0 %,-6.7 %,1,4,0.1,0.3,100.0 %,75.0 %,,1.2,963,1176,1.9 %,2.4 %,1,3.2,0,1,1,3,0,1,1,2,0,1,1,2,,3,1,3,,3.7,0,1.2,0,-1717,0.0 %,-3.4 %,0,-778,0.0 %,-1.6 %,0,-778,0.0 %,-1.6 %,100.0 %,75.0 %,100.0 %,75.0 %,100.0 %,66.7 %,963,2140,0,-1717,100.0 %,66.7 %
